Top_up_BankNum_ID,Balanced,Bank_Num,Wallet_ID,Top_Up_Date
BT00000001,21095.02,000-246252-7,W000000001,2019-04-11
BT00000002,95375.16,356-275389-3,W000000002,2020-06-30
BT00000003,541847.81,282-928683-4,W000000003,2020-02-14
BT00000004,677893.22,016-815113-6,W000000004,2020-05-25
BT00000005,332137.02,874-327405-1,W000000005,2021-11-21
BT00000006,423748.84,495-425350-3,W000000006,2019-03-08
BT00000007,273071.81,644-976801-6,W000000007,2020-02-29
BT00000008,349508.71,399-685564-7,W000000008,2019-02-24
BT00000009,400536.74,434-623395-0,W000000009,2021-05-08
BT00000010,400475.94,773-576428-4,W000000010,2020-01-11
BT00000011,26124.68,816-874697-1,W000000011,2019-01-28
BT00000012,92304.03,565-978599-5,W000000012,2021-10-09
BT00000013,123115.88,895-927156-1,W000000013,2020-06-19
BT00000014,741794.36,300-953037-0,W000000014,2019-01-22
BT00000015,177688.36,572-854008-3,W000000015,2019-04-03
BT00000016,481037.16,114-623232-4,W000000016,2020-01-31
BT00000017,107439.85,989-467713-8,W000000017,2021-12-03
BT00000018,798461.48,694-685471-9,W000000018,2022-02-22
BT00000019,630870.08,119-773832-5,W000000019,2021-04-14
BT00000020,933780.54,938-267333-5,W000000020,2020-12-30
BT00000021,530556.29,924-276984-7,W000000021,2022-03-06
BT00000022,368730.91,279-047174-5,W000000022,2019-02-27
BT00000023,219550.4,317-365999-8,W000000023,2019-02-17
BT00000024,838306.89,513-785326-4,W000000024,2020-02-02
BT00000025,674446.26,123-022927-0,W000000025,2021-05-10
BT00000026,497977.43,817-944518-5,W000000026,2020-11-18
BT00000027,48273.91,059-713085-0,W000000027,2019-08-09
BT00000028,11461.94,439-082263-3,W000000028,2020-03-19
BT00000029,476941.88,961-771144-4,W000000029,2020-10-11
BT00000030,628232.82,689-840169-4,W000000030,2019-06-13
BT00000031,615956.51,239-496890-7,W000000031,2019-07-06
BT00000032,117579.26,995-845380-8,W000000032,2020-01-01
BT00000033,235305.45,054-494539-1,W000000033,2021-08-02
BT00000034,952402.77,089-452042-2,W000000034,2021-09-13
BT00000035,372237.98,480-940133-8,W000000035,2020-07-22
BT00000036,402846.64,206-295077-1,W000000036,2021-09-03
BT00000037,617172.24,800-625654-4,W000000037,2021-12-01
BT00000038,178608.76,506-406649-9,W000000038,2020-08-01
BT00000039,113310.43,466-495118-6,W000000039,2019-10-29
BT00000040,362095.62,722-010228-0,W000000040,2021-05-26
BT00000041,542093.5,067-486352-3,W000000041,2019-11-07
BT00000042,999096.21,618-672457-1,W000000042,2021-10-16
BT00000043,884672.11,277-015279-7,W000000043,2019-01-21
BT00000044,909081.57,708-494212-8,W000000044,2019-03-14
BT00000045,245990.95,968-227154-1,W000000045,2021-10-10
BT00000046,107836.99,408-878105-8,W000000046,2021-06-25
BT00000047,506651.57,840-021179-0,W000000047,2021-07-30
BT00000048,843848.39,290-942687-4,W000000048,2020-07-03
BT00000049,450684.19,228-887855-8,W000000049,2021-04-17
BT00000050,270917.64,381-310357-1,W000000050,2020-04-15
BT00000051,174163.77,780-347635-0,W000000051,2020-08-23
BT00000052,713156.53,483-072497-8,W000000052,2021-03-18
BT00000053,935284.53,470-984722-0,W000000053,2019-07-11
BT00000054,22207.81,510-583138-0,W000000054,2019-05-22
BT00000055,237248.0,344-524898-3,W000000055,2021-02-23
BT00000056,246084.15,436-938111-2,W000000056,2019-09-26
BT00000057,988747.52,327-338458-0,W000000057,2020-08-04
BT00000058,572221.07,031-494080-3,W000000058,2020-04-23
BT00000059,607001.3,073-681821-0,W000000059,2020-10-20
BT00000060,87176.32,447-064034-0,W000000060,2019-10-15
BT00000061,358031.59,769-034837-1,W000000061,2020-05-06
BT00000062,591254.54,648-370348-3,W000000062,2020-06-01
BT00000063,840851.99,338-378759-0,W000000063,2019-12-20
BT00000064,384148.23,035-104028-1,W000000064,2020-02-07
BT00000065,111548.6,687-279640-9,W000000065,2020-05-24
BT00000066,963902.74,990-939704-6,W000000066,2019-11-16
BT00000067,464208.0,494-246100-9,W000000067,2019-08-16
BT00000068,527822.4,527-030091-1,W000000068,2020-10-29
BT00000069,871432.37,528-922483-1,W000000069,2020-04-08
BT00000070,606292.17,741-111987-7,W000000070,2019-04-19
BT00000071,879446.51,425-843731-8,W000000071,2019-06-06
BT00000072,598869.5,385-474767-5,W000000072,2021-11-19
BT00000073,49212.27,891-897217-8,W000000073,2019-01-17
BT00000074,757430.06,612-238414-3,W000000074,2021-05-28
BT00000075,984982.29,683-992362-5,W000000075,2021-03-03
BT00000076,852266.99,741-603039-3,W000000076,2019-01-20
BT00000077,582883.91,612-975273-7,W000000077,2021-05-10
BT00000078,328074.8,614-678496-4,W000000078,2020-02-01
BT00000079,48958.21,698-814904-2,W000000079,2019-05-09
BT00000080,331050.78,235-099585-7,W000000080,2020-11-06
BT00000081,258809.87,251-773249-0,W000000081,2019-03-04
BT00000082,704630.72,000-748527-0,W000000082,2019-07-03
BT00000083,651840.08,206-295077-1,W000000083,2020-08-21
BT00000084,529752.57,374-941311-8,W000000084,2021-08-25
BT00000085,69854.12,796-523961-7,W000000085,2021-10-29
BT00000086,74702.51,158-669766-7,W000000086,2020-10-12
BT00000087,209420.75,144-464964-0,W000000087,2019-04-20
BT00000088,457496.8,565-295263-3,W000000088,2019-01-11
BT00000089,809185.34,973-197054-2,W000000089,2019-11-16
BT00000090,124505.51,945-458149-5,W000000090,2019-01-08
BT00000091,532177.57,784-526477-6,W000000091,2019-03-15
BT00000092,693840.05,926-240169-2,W000000092,2021-06-01
BT00000093,63454.35,415-430987-8,W000000093,2019-11-25
BT00000094,484099.62,534-851601-8,W000000094,2022-02-24
BT00000095,300267.62,770-159485-1,W000000095,2020-04-30
BT00000096,639976.14,671-880002-4,W000000096,2022-02-19
BT00000097,187057.62,492-304277-0,W000000097,2020-06-18
BT00000098,421516.57,555-925480-4,W000000098,2021-12-03
BT00000099,864975.16,644-025390-7,W000000099,2020-03-14
BT00000100,63467.55,099-708053-1,W000000100,2021-09-28
BT00000101,387408.69,202-466854-7,W000000101,2019-11-30
BT00000102,825768.49,371-555321-0,W000000102,2019-04-04
BT00000103,399170.22,547-315615-8,W000000103,2021-05-29
BT00000104,917921.27,234-106277-2,W000000104,2019-01-09
BT00000105,627417.67,844-680699-4,W000000105,2021-01-03
BT00000106,446179.34,900-265660-1,W000000106,2020-07-07
BT00000107,499109.62,418-150797-1,W000000107,2019-01-09
BT00000108,429585.78,640-063232-8,W000000108,2020-09-28
BT00000109,942160.18,778-347576-8,W000000109,2019-11-10
BT00000110,711120.33,904-850951-4,W000000110,2020-02-18
BT00000111,278212.49,074-717179-4,W000000111,2019-11-30
BT00000112,107231.13,768-108438-1,W000000112,2021-09-14
BT00000113,258716.45,186-037629-3,W000000113,2021-11-10
BT00000114,987437.16,053-904289-1,W000000114,2019-08-05
BT00000115,838796.74,641-945074-7,W000000115,2020-10-11
BT00000116,361183.21,415-836278-4,W000000116,2020-05-08
BT00000117,469773.02,246-367921-3,W000000117,2019-06-12
BT00000118,321979.56,699-766883-2,W000000118,2021-01-29
BT00000119,765729.79,657-079953-3,W000000119,2019-10-24
BT00000120,519164.82,245-176635-5,W000000120,2020-04-05
BT00000121,635001.55,416-475947-9,W000000121,2019-10-21
BT00000122,136400.17,750-603871-1,W000000122,2021-12-17
BT00000123,857816.54,072-014539-2,W000000123,2020-04-30
BT00000124,72691.16,087-526099-7,W000000124,2021-06-08
BT00000125,908447.92,697-113953-6,W000000125,2019-10-20
BT00000126,892032.06,061-132579-4,W000000126,2019-05-24
BT00000127,82051.31,414-281045-6,W000000127,2021-03-26
BT00000128,991235.89,901-119371-0,W000000128,2019-03-29
BT00000129,258477.23,752-085045-1,W000000129,2020-12-02
BT00000130,209974.28,043-487532-6,W000000130,2022-01-24
BT00000131,573673.57,710-304791-0,W000000131,2021-12-31
BT00000132,538479.65,387-994782-9,W000000132,2020-09-16
BT00000133,923194.39,390-630578-4,W000000133,2019-12-31
BT00000134,475077.35,195-450207-9,W000000134,2021-03-07
BT00000135,118697.72,676-747554-1,W000000135,2021-09-16
BT00000136,601432.3,018-979502-9,W000000136,2019-08-03
BT00000137,926713.03,506-406649-9,W000000137,2022-01-25
BT00000138,723574.93,279-047174-5,W000000138,2020-07-01
BT00000139,395261.64,778-347576-8,W000000139,2020-07-06
BT00000140,20591.6,633-719047-6,W000000140,2019-09-01
BT00000141,809588.39,081-178892-9,W000000141,2020-06-08
BT00000142,878958.24,796-462804-7,W000000142,2019-05-17
BT00000143,815576.95,270-136699-0,W000000143,2020-09-24
BT00000144,58409.95,635-608126-3,W000000144,2019-12-19
BT00000145,269235.96,911-826005-5,W000000145,2020-10-11
BT00000146,44927.01,951-559173-2,W000000146,2020-03-24
BT00000147,823942.78,690-821264-8,W000000147,2020-03-15
BT00000148,198986.73,633-932526-5,W000000148,2021-04-04
BT00000149,756304.37,033-494576-1,W000000149,2020-11-02
BT00000150,255112.91,267-970894-8,W000000150,2020-09-16
BT00000151,290950.28,664-876350-7,W000000151,2020-06-06
BT00000152,484889.13,713-010396-3,W000000152,2021-07-26
BT00000153,662201.59,345-490304-2,W000000153,2021-05-15
BT00000154,468149.61,849-927002-4,W000000154,2019-07-21
BT00000155,349465.66,086-528241-9,W000000155,2019-04-23
BT00000156,662545.32,326-985185-4,W000000156,2021-02-28
BT00000157,506156.74,809-260179-3,W000000157,2020-05-16
BT00000158,503458.82,689-324201-5,W000000158,2020-05-05
BT00000159,22275.19,452-911194-8,W000000159,2019-09-28
BT00000160,150292.62,457-012012-9,W000000160,2021-07-14
BT00000161,266709.75,358-054755-9,W000000161,2019-05-07
BT00000162,841179.6,904-973832-6,W000000162,2022-02-21
BT00000163,205413.11,062-016973-9,W000000163,2019-09-18
BT00000164,759846.01,547-364025-5,W000000164,2022-01-14
BT00000165,820910.49,396-679006-1,W000000165,2019-07-28
BT00000166,410829.87,325-429569-2,W000000166,2019-01-28
BT00000167,367350.65,349-028601-1,W000000167,2021-05-20
BT00000168,487157.56,604-650127-6,W000000168,2019-02-12
BT00000169,669515.54,889-011859-8,W000000169,2019-12-18
BT00000170,948504.7,732-766615-1,W000000170,2019-08-11
BT00000171,319557.2,764-569488-9,W000000171,2021-08-13
BT00000172,96375.31,566-472339-5,W000000172,2021-12-17
BT00000173,704837.88,402-416453-4,W000000173,2020-12-14
BT00000174,344670.62,281-896740-2,W000000174,2020-05-05
BT00000175,489108.73,522-572759-6,W000000175,2021-04-12
BT00000176,470001.94,961-715095-2,W000000176,2019-07-19
