Top_up_BankNum_ID,Amount,Bank_Num,Wallet_ID,Top_Up_Date
BT00000001,15497.92,256-485741-4,W000000001,2020-10-31
BT00000002,10441.64,489-971353-3,W000000002,2019-08-01
BT00000003,10950.87,500-054553-6,W000000003,2020-08-02
BT00000004,29349.46,125-087410-7,W000000004,2021-06-06
BT00000005,25569.82,324-731854-0,W000000005,2022-02-18
BT00000006,26781.6,891-765550-9,W000000006,2021-12-12
BT00000007,34156.03,731-210671-0,W000000007,2020-05-20
BT00000008,28976.42,645-153682-6,W000000008,2020-07-28
BT00000009,1010.5,257-746461-9,W000000009,2022-03-14
BT00000010,18111.98,783-696017-9,W000000010,2020-09-16
BT00000011,11793.46,133-519042-4,W000000011,2019-01-06
BT00000012,28217.82,489-504264-8,W000000012,2020-02-02
BT00000013,14820.47,044-078165-2,W000000013,2021-06-15
BT00000014,13910.09,229-413043-5,W000000014,2021-04-11
BT00000015,13965.66,325-750980-2,W000000015,2021-02-09
BT00000016,34897.98,855-772435-9,W000000016,2021-02-04
BT00000017,32199.53,569-074560-8,W000000017,2020-12-15
BT00000018,5704.64,930-360849-5,W000000018,2021-09-24
BT00000019,7788.37,654-925752-1,W000000019,2019-08-18
BT00000020,3297.95,009-148796-2,W000000020,2019-05-28
BT00000021,18247.78,474-742024-2,W000000021,2019-09-13
BT00000022,9106.98,163-970523-7,W000000022,2019-11-09
BT00000023,1009.9,414-181983-9,W000000023,2020-04-19
BT00000024,17130.54,823-070594-9,W000000024,2021-05-23
BT00000025,32210.39,681-665815-8,W000000025,2019-04-13
BT00000026,7564.75,351-076596-9,W000000026,2021-08-23
BT00000027,5658.48,376-932957-8,W000000027,2020-01-18
BT00000028,22639.34,474-572833-0,W000000028,2019-10-10
BT00000029,32013.31,877-915037-5,W000000029,2020-07-30
BT00000030,13990.93,474-572833-0,W000000030,2020-02-29
BT00000031,4583.86,728-653915-0,W000000031,2019-01-19
BT00000032,12587.17,730-034889-1,W000000032,2019-12-01
BT00000033,23137.87,310-811362-6,W000000033,2020-08-14
BT00000034,9753.12,606-017360-2,W000000034,2020-09-02
BT00000035,29475.68,404-092316-1,W000000035,2020-12-20
BT00000036,1446.03,046-015454-3,W000000036,2020-03-31
BT00000037,3047.87,489-504264-8,W000000037,2020-11-18
BT00000038,8788.01,570-962918-9,W000000038,2019-03-23
BT00000039,6719.29,238-586754-3,W000000039,2019-03-03
BT00000040,30858.18,055-307835-4,W000000040,2019-06-25
BT00000041,32970.55,912-035129-1,W000000041,2021-04-01
BT00000042,5215.06,678-610640-0,W000000042,2022-01-25
BT00000043,4974.59,570-962918-9,W000000043,2019-08-08
BT00000044,6796.86,542-635473-1,W000000044,2019-09-14
BT00000045,16254.62,828-549973-2,W000000045,2021-09-06
BT00000046,24304.76,906-803763-0,W000000046,2019-06-03
BT00000047,16575.49,781-593170-7,W000000047,2019-10-05
BT00000048,24454.14,750-243990-7,W000000048,2019-08-24
BT00000049,14765.24,433-225949-9,W000000049,2020-04-11
BT00000050,27991.49,294-016576-8,W000000050,2019-12-08
BT00000051,28983.9,314-030284-8,W000000051,2022-03-10
BT00000052,17226.29,667-424038-7,W000000052,2019-03-14
BT00000053,33102.88,712-740138-8,W000000053,2019-01-25
BT00000054,15576.14,969-933288-9,W000000054,2020-07-29
BT00000055,5072.94,498-127100-4,W000000055,2020-03-19
BT00000056,3743.93,465-991965-0,W000000056,2020-10-29
BT00000057,29597.74,859-059306-3,W000000057,2019-03-03
BT00000058,12683.54,783-651354-0,W000000058,2022-03-08
BT00000059,19887.77,922-845875-6,W000000059,2020-05-14
BT00000060,2742.33,234-382198-3,W000000060,2020-11-21
BT00000061,28962.71,214-815005-0,W000000061,2021-04-13
BT00000062,3692.13,632-657492-1,W000000062,2021-11-10
BT00000063,23071.55,743-665251-9,W000000063,2021-08-24
BT00000064,5210.75,752-653218-3,W000000064,2019-05-13
BT00000065,24647.85,552-322250-0,W000000065,2022-02-05
BT00000066,6216.63,237-341647-9,W000000066,2019-09-05
BT00000067,11461.69,182-833450-0,W000000067,2019-01-02
BT00000068,23793.14,907-298197-2,W000000068,2022-01-02
BT00000069,30628.05,977-696339-4,W000000069,2022-02-28
BT00000070,28862.44,125-049214-7,W000000070,2021-10-12
BT00000071,28094.1,993-513018-1,W000000071,2020-11-01
BT00000072,20503.97,615-083996-7,W000000072,2022-03-05
BT00000073,2795.73,493-910380-0,W000000073,2021-05-22
BT00000074,22021.28,418-563764-0,W000000074,2020-07-12
BT00000075,4177.07,419-077021-4,W000000075,2020-04-20
BT00000076,13057.53,033-990959-6,W000000076,2020-08-01
BT00000077,8066.87,158-607467-7,W000000077,2021-08-05
BT00000078,4568.47,230-473373-2,W000000078,2021-06-19
BT00000079,3916.41,272-776548-6,W000000079,2021-08-27
BT00000080,30218.21,074-922728-1,W000000080,2021-12-09
BT00000081,30198.39,787-542562-6,W000000081,2020-06-23
BT00000082,3766.98,435-980295-6,W000000082,2021-07-17
BT00000083,32833.61,947-820591-0,W000000083,2021-01-31
BT00000084,5047.93,694-846534-4,W000000084,2020-06-07
BT00000085,2962.41,764-135566-2,W000000085,2019-07-03
BT00000086,5863.99,270-967723-8,W000000086,2019-08-12
BT00000087,26331.05,366-111858-1,W000000087,2020-02-06
BT00000088,31742.19,710-313368-9,W000000088,2021-11-26
BT00000089,2599.4,421-184318-0,W000000089,2021-01-31
BT00000090,14601.66,999-315163-7,W000000090,2019-10-08
BT00000091,27260.3,671-012282-1,W000000091,2022-01-28
BT00000092,15942.81,825-150463-5,W000000092,2020-04-20
BT00000093,16004.94,357-629445-7,W000000093,2019-06-13
BT00000094,2486.08,802-920888-6,W000000094,2021-09-26
BT00000095,32282.28,127-870682-8,W000000095,2021-12-25
BT00000096,19494.89,858-546018-5,W000000096,2019-03-03
BT00000097,20429.08,105-844737-6,W000000097,2021-12-23
BT00000098,25311.72,674-487541-9,W000000098,2019-07-29
BT00000099,31773.3,818-148490-8,W000000099,2019-10-22
BT00000100,24471.67,229-478681-4,W000000100,2020-04-21
BT00000101,18675.37,201-715434-1,W000000101,2020-09-01
BT00000102,4063.47,789-683693-0,W000000102,2020-05-19
BT00000103,7009.52,912-035129-1,W000000103,2021-07-29
BT00000104,14961.41,655-646043-7,W000000104,2019-01-07
BT00000105,21523.39,433-225949-9,W000000105,2019-06-03
BT00000106,15894.04,692-567822-5,W000000106,2022-01-20
BT00000107,4151.02,567-969475-5,W000000107,2019-05-30
BT00000108,7110.94,611-905545-4,W000000108,2020-09-23
BT00000109,7747.6,683-953573-2,W000000109,2019-01-28
BT00000110,2988.86,093-988756-3,W000000110,2019-09-14
BT00000111,6446.76,756-787360-4,W000000111,2021-01-04
BT00000112,6362.94,652-574166-8,W000000112,2021-11-17
BT00000113,24241.38,325-042866-9,W000000113,2020-09-10
BT00000114,18317.56,433-450471-5,W000000114,2019-02-24
BT00000115,4282.01,105-205810-7,W000000115,2019-06-09
BT00000116,23333.01,463-938008-2,W000000116,2020-04-05
BT00000117,22138.52,682-247603-6,W000000117,2021-02-17
BT00000118,1084.82,234-623420-3,W000000118,2021-09-18
BT00000119,3923.75,032-957705-1,W000000119,2019-03-10
BT00000120,27057.32,254-637581-5,W000000120,2021-03-04
BT00000121,26506.25,417-392905-3,W000000121,2020-02-22
BT00000122,772.06,684-448020-9,W000000122,2022-02-11
BT00000123,27262.22,346-892712-0,W000000123,2020-02-20
BT00000124,22469.58,891-227482-7,W000000124,2020-04-13
BT00000125,30788.77,275-780346-4,W000000125,2021-05-22
BT00000126,782.09,220-977262-1,W000000126,2019-04-29
BT00000127,15645.14,293-875897-3,W000000127,2019-08-02
BT00000128,6532.89,818-148490-8,W000000128,2020-08-26
BT00000129,23600.62,880-188173-0,W000000129,2020-10-06
BT00000130,10260.63,578-734164-7,W000000130,2021-01-22
BT00000131,13470.0,241-403108-3,W000000131,2021-10-24
BT00000132,13311.23,593-898111-7,W000000132,2019-02-04
BT00000133,195.29,366-948144-2,W000000133,2019-05-27
BT00000134,20702.83,519-419919-8,W000000134,2019-04-21
BT00000135,18693.53,374-510953-1,W000000135,2022-03-12
BT00000136,15032.21,086-718750-4,W000000136,2021-02-02
BT00000137,29947.57,450-326103-4,W000000137,2019-12-30
BT00000138,22019.99,228-416291-1,W000000138,2020-10-28
BT00000139,2290.34,734-140023-0,W000000139,2020-07-05
BT00000140,30976.26,876-285926-3,W000000140,2019-04-19
BT00000141,20397.62,283-519517-7,W000000141,2019-04-01
BT00000142,20066.38,654-925752-1,W000000142,2021-10-02
BT00000143,29381.3,901-895122-4,W000000143,2020-03-11
BT00000144,7509.81,624-952218-3,W000000144,2020-09-25
BT00000145,25495.06,005-653740-5,W000000145,2020-07-16
BT00000146,28441.55,857-531443-9,W000000146,2019-06-09
BT00000147,11312.87,765-862292-8,W000000147,2020-09-22
BT00000148,26816.79,909-821603-1,W000000148,2019-01-05
BT00000149,25877.99,510-535077-1,W000000149,2020-05-07
BT00000150,8919.71,451-063174-9,W000000150,2021-08-11
BT00000151,33148.7,948-933924-1,W000000151,2021-12-11
BT00000152,7216.47,194-114105-6,W000000152,2019-08-26
BT00000153,5761.88,783-445947-6,W000000153,2020-02-21
BT00000154,30409.72,965-057131-9,W000000154,2019-01-30
BT00000155,18131.38,842-416754-2,W000000155,2020-04-04
BT00000156,19964.65,032-494836-0,W000000156,2020-06-22
BT00000157,1792.81,261-088038-8,W000000157,2021-05-29
BT00000158,4680.44,608-982920-2,W000000158,2021-07-27
BT00000159,14338.52,125-049214-7,W000000159,2020-08-02
BT00000160,15860.87,168-055790-0,W000000160,2019-05-09
BT00000161,32133.73,566-329676-3,W000000161,2020-04-01
BT00000162,5350.87,783-651354-0,W000000162,2019-09-24
BT00000163,19147.29,106-700194-7,W000000163,2021-04-21
BT00000164,3742.34,974-255043-3,W000000164,2022-03-01
BT00000165,24315.39,765-319215-7,W000000165,2021-04-08
BT00000166,15044.74,609-002324-9,W000000166,2019-01-03
BT00000167,17712.55,239-349425-4,W000000167,2021-09-15
BT00000168,3479.48,812-758287-2,W000000168,2021-03-18
BT00000169,27317.14,468-127901-2,W000000169,2021-09-14
BT00000170,7425.32,124-803585-5,W000000170,2019-05-22
BT00000171,25802.97,163-970523-7,W000000171,2020-04-11
BT00000172,6960.04,421-184318-0,W000000172,2021-03-11
BT00000173,32896.69,882-021165-3,W000000173,2020-08-12
BT00000174,8579.74,514-307692-8,W000000174,2021-08-20
BT00000175,18024.5,406-033053-3,W000000175,2021-08-29
BT00000176,31543.82,298-365437-5,W000000176,2020-07-01
BT00000177,9098.04,977-696339-4,W000000177,2021-04-30
BT00000178,12542.27,483-722653-3,W000000178,2019-05-29
BT00000179,7681.81,784-851783-4,W000000179,2020-01-06
BT00000180,19076.96,956-743560-2,W000000180,2022-03-09
BT00000181,18874.88,882-021165-3,W000000181,2020-04-06
BT00000182,900.4,290-461611-1,W000000182,2020-12-09
BT00000183,31646.27,496-549292-9,W000000183,2020-05-29
BT00000184,7749.61,578-330474-2,W000000184,2021-03-18
BT00000185,6248.33,502-168242-4,W000000185,2020-06-17
BT00000186,1880.13,154-936193-3,W000000186,2020-07-06
BT00000187,9214.13,178-300260-1,W000000187,2020-07-05
BT00000188,24782.42,998-305925-8,W000000188,2020-04-13
BT00000189,22841.63,560-701300-2,W000000189,2021-03-27
BT00000190,22143.7,415-891082-3,W000000190,2020-01-27
BT00000191,27111.14,253-879997-6,W000000191,2019-03-31
BT00000192,31375.23,349-904993-6,W000000192,2021-07-08
BT00000193,20607.98,486-963517-5,W000000193,2022-01-01
BT00000194,6280.22,446-081128-8,W000000194,2020-06-20
BT00000195,4607.48,694-099934-4,W000000195,2021-06-14
BT00000196,21905.77,050-359424-3,W000000196,2020-04-21
BT00000197,18417.11,389-786956-3,W000000197,2021-12-23
BT00000198,18220.89,370-663153-7,W000000198,2019-02-07
BT00000199,14719.4,714-115179-7,W000000199,2021-03-07
BT00000200,6361.4,983-200808-0,W000000200,2021-10-17
BT00000201,2415.96,671-344431-7,W000000201,2020-06-21
BT00000202,7241.9,903-980965-4,W000000202,2021-02-09
BT00000203,13261.93,905-387907-3,W000000203,2021-02-14
BT00000204,10390.58,177-672369-9,W000000204,2019-11-04
BT00000205,24823.08,104-124627-7,W000000205,2020-07-16
BT00000206,34926.94,704-545295-2,W000000206,2022-02-16
BT00000207,11811.77,144-760486-8,W000000207,2020-04-28
BT00000208,34328.1,185-675444-2,W000000208,2019-02-07
BT00000209,16855.14,711-577331-9,W000000209,2019-04-25
BT00000210,16600.38,765-233074-8,W000000210,2019-01-05
BT00000211,17173.84,070-197201-6,W000000211,2021-12-17
BT00000212,14844.51,370-663153-7,W000000212,2019-06-01
BT00000213,2440.47,214-599558-6,W000000213,2022-01-20
BT00000214,33464.19,692-741207-4,W000000214,2020-10-29
BT00000215,26179.77,848-726862-8,W000000215,2021-08-12
BT00000216,1817.4,783-445947-6,W000000216,2020-08-06
BT00000217,14526.02,999-315163-7,W000000217,2019-08-03
BT00000218,26267.22,042-785944-6,W000000218,2021-03-29
BT00000219,1321.4,663-008548-4,W000000219,2021-01-22
BT00000220,16548.31,654-263302-2,W000000220,2019-05-12
BT00000221,34539.93,189-929291-8,W000000221,2021-10-23
BT00000222,29813.83,111-485387-4,W000000222,2020-10-13
BT00000223,18759.13,041-371906-7,W000000223,2020-08-15
BT00000224,27257.9,133-519042-4,W000000224,2020-02-01
BT00000225,2614.88,724-716226-5,W000000225,2021-10-20
BT00000226,31997.74,169-455109-5,W000000226,2021-04-08
BT00000227,22966.03,486-116797-0,W000000227,2020-04-14
BT00000228,27686.33,360-329464-8,W000000228,2019-01-28
BT00000229,5795.07,402-232174-3,W000000229,2019-05-27
BT00000230,27867.3,215-125386-2,W000000230,2021-12-21
BT00000231,12659.83,495-376620-2,W000000231,2021-11-12
BT00000232,18700.25,083-065282-9,W000000232,2019-11-23
BT00000233,6982.3,243-153775-0,W000000233,2019-09-03
BT00000234,13586.23,715-990777-3,W000000234,2021-02-23
BT00000235,11398.97,712-740138-8,W000000235,2021-09-01
BT00000236,3162.51,834-243498-2,W000000236,2021-08-01
BT00000237,34276.71,783-651354-0,W000000237,2020-07-23
BT00000238,30524.92,946-689399-9,W000000238,2019-05-08
BT00000239,6599.72,674-779531-3,W000000239,2021-04-04
BT00000240,1399.39,910-375156-6,W000000240,2020-11-15
BT00000241,25867.07,125-909723-8,W000000241,2019-02-15
BT00000242,1047.63,032-494836-0,W000000242,2020-06-17
BT00000243,17156.8,971-801697-4,W000000243,2020-07-19
BT00000244,4423.74,445-885637-8,W000000244,2019-05-08
BT00000245,8287.88,080-317711-1,W000000245,2020-01-29
BT00000246,18260.66,506-114179-1,W000000246,2019-04-20
BT00000247,8765.29,648-641259-9,W000000247,2020-12-11
BT00000248,19411.11,316-146107-0,W000000248,2020-07-31
BT00000249,4102.41,783-445947-6,W000000249,2021-12-18
BT00000250,30332.94,512-765118-1,W000000250,2020-11-05
BT00000251,31207.11,814-081222-2,W000000251,2020-10-09
BT00000252,24270.22,605-528164-4,W000000252,2019-10-10
BT00000253,18474.35,678-610640-0,W000000253,2021-05-01
BT00000254,22472.35,648-273684-7,W000000254,2019-01-24
BT00000255,2760.26,165-195361-1,W000000255,2021-07-18
BT00000256,14987.91,421-184318-0,W000000256,2019-02-13
BT00000257,22497.7,222-937661-4,W000000257,2021-08-01
BT00000258,293.82,413-798188-0,W000000258,2020-01-16
BT00000259,12257.28,406-033053-3,W000000259,2019-07-15
BT00000260,8143.48,765-233074-8,W000000260,2021-02-11
BT00000261,4678.1,535-515614-7,W000000261,2020-07-07
BT00000262,32808.82,768-349619-0,W000000262,2021-04-28
BT00000263,14801.79,651-963536-2,W000000263,2020-11-12
BT00000264,34016.41,706-712511-8,W000000264,2021-06-22
BT00000265,22086.2,918-890483-3,W000000265,2020-11-11
BT00000266,16207.87,802-993604-2,W000000266,2020-10-03
BT00000267,3097.07,656-275090-7,W000000267,2021-01-16
BT00000268,18806.13,132-302937-7,W000000268,2021-08-25
BT00000269,25646.94,563-870412-3,W000000269,2020-11-25
BT00000270,8517.98,512-092785-9,W000000270,2020-12-26
BT00000271,31383.95,479-218089-7,W000000271,2020-05-10
BT00000272,33774.24,587-702134-8,W000000272,2020-12-16
BT00000273,5373.42,457-288690-0,W000000273,2020-10-29
BT00000274,34831.52,165-195361-1,W000000274,2020-08-20
BT00000275,171.01,889-446751-1,W000000275,2021-11-22
BT00000276,4080.03,267-359894-8,W000000276,2020-04-26
BT00000277,34532.23,232-577901-3,W000000277,2020-05-11
BT00000278,8367.49,429-706380-7,W000000278,2019-06-14
BT00000279,18788.93,114-682683-1,W000000279,2020-08-09
BT00000280,18222.51,705-052685-8,W000000280,2021-11-14
BT00000281,1806.68,509-675240-9,W000000281,2019-03-09
BT00000282,22330.59,193-771215-2,W000000282,2020-05-21
BT00000283,31011.56,954-572163-8,W000000283,2020-03-08
BT00000284,10652.36,526-508465-0,W000000284,2021-06-03
BT00000285,32510.96,026-380070-7,W000000285,2021-03-07
BT00000286,2730.11,476-990032-0,W000000286,2020-06-24
BT00000287,7368.38,907-298197-2,W000000287,2019-09-19
BT00000288,2794.87,570-962918-9,W000000288,2019-06-12
BT00000289,10212.67,413-346416-0,W000000289,2020-05-26
BT00000290,632.3,429-706380-7,W000000290,2019-08-25
BT00000291,29496.59,578-326834-0,W000000291,2019-11-15
BT00000292,30382.73,939-836216-1,W000000292,2022-01-29
BT00000293,33097.2,683-865157-7,W000000293,2019-08-22
BT00000294,18734.97,240-868313-3,W000000294,2021-10-03
BT00000295,29887.01,451-350103-8,W000000295,2020-12-11
BT00000296,32706.49,810-257498-0,W000000296,2020-03-10
BT00000297,22739.73,788-770963-9,W000000297,2019-04-17
BT00000298,12456.39,000-900406-0,W000000298,2020-08-27
BT00000299,18293.75,038-591824-8,W000000299,2020-03-18
BT00000300,24148.97,817-349330-5,W000000300,2021-11-10
BT00000301,28751.82,489-549231-3,W000000301,2019-03-26
BT00000302,25283.4,618-624865-7,W000000302,2020-03-23
BT00000303,2953.63,204-766270-0,W000000303,2019-07-19
BT00000304,2361.9,240-868313-3,W000000304,2019-10-25
BT00000305,860.75,880-188173-0,W000000305,2019-07-01
BT00000306,1066.41,425-424353-4,W000000306,2020-12-29
BT00000307,14175.36,926-137268-4,W000000307,2021-06-09
BT00000308,17476.61,070-197201-6,W000000308,2019-02-20
BT00000309,23604.33,818-243856-5,W000000309,2019-02-09
BT00000310,22467.74,565-919240-2,W000000310,2021-08-13
BT00000311,24226.6,985-705792-5,W000000311,2019-04-25
BT00000312,22568.77,534-920669-3,W000000312,2020-10-02
BT00000313,28126.65,234-382198-3,W000000313,2022-01-03
BT00000314,32874.37,139-941383-2,W000000314,2020-05-12
BT00000315,18835.47,480-972795-6,W000000315,2022-03-07
BT00000316,34266.82,429-537642-6,W000000316,2020-10-31
BT00000317,13428.13,944-104797-2,W000000317,2021-08-29
BT00000318,17107.81,891-765550-9,W000000318,2019-06-05
BT00000319,26910.6,275-749212-1,W000000319,2020-10-21
BT00000320,8337.77,877-047087-7,W000000320,2021-08-09
BT00000321,8825.51,356-122654-0,W000000321,2019-07-10
BT00000322,8952.75,893-653203-4,W000000322,2022-01-20
BT00000323,33196.89,263-241864-7,W000000323,2021-12-13
BT00000324,27482.73,036-017906-0,W000000324,2022-01-21
BT00000325,22739.22,977-696339-4,W000000325,2021-01-07
BT00000326,25371.5,446-089566-0,W000000326,2021-02-23
BT00000327,26479.76,276-242706-0,W000000327,2020-08-07
BT00000328,31284.83,325-438960-4,W000000328,2021-11-22
BT00000329,9808.73,885-064519-2,W000000329,2019-09-30
BT00000330,12164.55,737-225332-9,W000000330,2020-06-04
BT00000331,9499.49,625-438016-0,W000000331,2019-07-24
BT00000332,33274.99,860-262299-4,W000000332,2019-06-16
BT00000333,18410.4,548-186981-9,W000000333,2019-10-22
BT00000334,6919.93,776-812272-6,W000000334,2021-06-15
BT00000335,4928.28,246-278353-5,W000000335,2021-09-09
BT00000336,3163.76,720-360081-3,W000000336,2021-05-11
BT00000337,12713.62,806-288969-1,W000000337,2021-10-10
BT00000338,804.2,064-870297-8,W000000338,2021-09-23
BT00000339,34804.59,662-808452-2,W000000339,2019-05-02
BT00000340,16442.8,459-847856-5,W000000340,2019-03-29
BT00000341,34485.53,463-938008-2,W000000341,2020-04-04
BT00000342,17549.29,404-789400-9,W000000342,2020-12-31
BT00000343,5751.16,394-659198-2,W000000343,2020-07-10
BT00000344,31283.78,037-218123-0,W000000344,2020-11-11
BT00000345,28088.01,093-988756-3,W000000345,2020-10-29
BT00000346,24806.74,527-781447-9,W000000346,2020-11-07
BT00000347,25798.79,974-792685-0,W000000347,2020-08-05
BT00000348,245.59,833-830917-2,W000000348,2019-07-29
BT00000349,15649.28,505-104552-6,W000000349,2022-01-26
BT00000350,15528.62,136-979062-3,W000000350,2019-10-19
BT00000351,16588.43,692-333045-7,W000000351,2021-07-07
BT00000352,891.11,767-317445-8,W000000352,2020-05-13
BT00000353,21090.41,855-772435-9,W000000353,2021-11-02
BT00000354,12829.05,526-479160-6,W000000354,2020-07-09
BT00000355,19881.04,289-720525-3,W000000355,2022-01-19
BT00000356,1069.85,901-895122-4,W000000356,2019-08-15
BT00000357,34634.82,486-910902-4,W000000357,2020-09-04
BT00000358,12002.01,586-045292-9,W000000358,2019-11-05
BT00000359,9916.11,139-407298-3,W000000359,2020-03-01
BT00000360,985.61,019-277436-1,W000000360,2020-09-20
BT00000361,30504.05,759-984128-6,W000000361,2019-07-30
