id,First_name,Last_Name,Email,Phone,Address,Birthday,Manager_ID
B000000001,Esther,Thomas,Esther.Tho@outlook.com,091-473-2105,"85479 Lee Course Masonport, ID 60219",2003-10-24,M000000008
B000000002,Lois,Herreras,Lois.Her@outlook.com,085-127-6272,"84896 Williams Causeway East Joann, KS 88180",1991-12-12,M000000002
B000000003,Richard,Burton,Richard.Bur@outlook.com,085-856-8773,"PSC 6220, Box 4994 APO AA 60553",1996-08-27,M000000005
B000000004,Eric,Fritcher,Eric.Fri@gmail.com,092-395-2268,"57343 Chandler Highway New Taylortown, AL 52390",1998-08-28,M000000001
B000000005,Trent,Menter,Trent.Men@hotmail.com,090-586-7038,"86678 Scott Villages Apt. 946 Sullivanberg, NH 51138",2001-05-06,M000000003
B000000006,Robert,Brooks,Robert.Bro@gmail.com,080-972-2162,"332 Brown Wall Port Jose, VA 38459",1986-04-27,M000000008
B000000007,Charles,Armantrout,Charles.Arm@outlook.com,082-749-9273,"57775 Christian Hill Salazarshire, MT 60935",2003-10-07,M000000001
B000000008,Tony,Coleman,Tony.Col@gmail.com,082-083-4512,"2942 Cannon Islands Suite 498 Kaitlinmouth, WI 71446",1985-09-29,M000000004
B000000009,Linda,Lee,Linda.Lee@gmail.com,088-467-0088,"17962 Jackson Squares Jennastad, OR 72130",1996-05-05,M000000008
B000000010,Georgette,Hill,Georgette.Hil@gmail.com,088-038-0934,"86681 Myers Ramp Bairdberg, TX 73372",1985-01-11,M000000002
