Top_up_Credit_Card_ID,Amount,Credit_Card_Number,Wallet_ID,Top_Up_Date
CT00000001,17751.73,6195-6095-5090-7299,W000000001,2020-10-31
CT00000002,4476.33,6568-4324-4911-9185,W000000002,2019-08-01
CT00000003,22896.09,8612-5233-7238-4917,W000000003,2020-08-02
CT00000004,1270.32,4227-3391-1754-5570,W000000004,2021-06-06
CT00000005,31385.4,3134-4438-3690-7400,W000000005,2022-02-18
CT00000006,2254.85,1297-1355-4421-3283,W000000006,2021-12-12
CT00000007,24038.45,9977-3980-3754-7415,W000000007,2020-05-20
CT00000008,19141.28,8629-5631-8107-6717,W000000008,2020-07-28
CT00000009,24998.38,8633-7813-8130-6348,W000000009,2022-03-14
CT00000010,25667.04,9955-0780-5072-9844,W000000010,2020-09-16
CT00000011,11978.77,2760-2930-0409-3105,W000000011,2019-01-06
CT00000012,31752.98,7267-2891-3056-0411,W000000012,2020-02-02
CT00000013,8793.27,8744-4593-9969-3100,W000000013,2021-06-15
CT00000014,34508.39,1898-9265-2160-2628,W000000014,2021-04-11
CT00000015,7869.64,5456-5119-8168-9423,W000000015,2021-02-09
CT00000016,11931.72,7578-2940-8140-1582,W000000016,2021-02-04
CT00000017,11342.85,6888-2825-7687-2414,W000000017,2020-12-15
CT00000018,2047.61,1439-4114-7661-0234,W000000018,2021-09-24
CT00000019,11910.27,1692-2745-5326-5357,W000000019,2019-08-18
CT00000020,33855.74,0828-2384-5199-5592,W000000020,2019-05-28
CT00000021,28707.71,4054-7702-1316-7656,W000000021,2019-09-13
CT00000022,19148.44,6550-2220-7604-1345,W000000022,2019-11-09
CT00000023,25951.98,2227-0909-7684-6763,W000000023,2020-04-19
CT00000024,6400.55,5082-7978-8743-3591,W000000024,2021-05-23
CT00000025,11933.2,1665-7226-6514-4493,W000000025,2019-04-13
CT00000026,15064.39,2150-5971-5900-2246,W000000026,2021-08-23
CT00000027,13937.35,8448-9560-8444-8731,W000000027,2020-01-18
CT00000028,22785.59,6482-7509-8399-3225,W000000028,2019-10-10
CT00000029,16885.41,9830-0287-9775-6505,W000000029,2020-07-30
CT00000030,7590.56,3562-8506-2992-8580,W000000030,2020-02-29
CT00000031,3424.63,1739-1960-7877-6941,W000000031,2019-01-19
CT00000032,8205.16,2678-6161-1159-5139,W000000032,2019-12-01
CT00000033,33010.33,8717-5131-6993-0231,W000000033,2020-08-14
CT00000034,26135.26,2076-9465-2074-0065,W000000034,2020-09-02
CT00000035,16930.71,9920-2532-5011-8710,W000000035,2020-12-20
CT00000036,19563.51,5041-6800-1146-5928,W000000036,2020-03-31
CT00000037,32230.21,5117-9189-9941-3384,W000000037,2020-11-18
CT00000038,28323.43,9347-1946-3959-2831,W000000038,2019-03-23
CT00000039,15014.55,4950-3654-7380-9704,W000000039,2019-03-03
CT00000040,16976.83,7719-8640-8492-9656,W000000040,2019-06-25
CT00000041,26021.12,8664-1541-0956-2889,W000000041,2021-04-01
CT00000042,10579.49,4759-9251-2276-5821,W000000042,2022-01-25
CT00000043,10678.51,2918-0454-3840-0046,W000000043,2019-08-08
CT00000044,31971.14,2497-6941-5901-6439,W000000044,2019-09-14
CT00000045,12757.13,4473-9036-7955-9835,W000000045,2021-09-06
CT00000046,32662.98,1204-6017-4612-7695,W000000046,2019-06-03
CT00000047,1307.9,3055-1182-6705-7232,W000000047,2019-10-05
CT00000048,23875.42,2955-1097-5384-3257,W000000048,2019-08-24
CT00000049,4350.99,2365-0613-1062-2468,W000000049,2020-04-11
CT00000050,16705.41,6952-1058-3208-4198,W000000050,2019-12-08
CT00000051,31921.73,2345-6763-7500-2726,W000000051,2022-03-10
CT00000052,15307.32,2823-8955-8553-4307,W000000052,2019-03-14
CT00000053,19172.77,7519-3718-4692-7017,W000000053,2019-01-25
CT00000054,2375.1,2915-9848-4577-4586,W000000054,2020-07-29
CT00000055,6728.31,3388-5483-3594-5805,W000000055,2020-03-19
CT00000056,24067.4,8812-9193-8230-9675,W000000056,2020-10-29
CT00000057,1018.19,4205-0475-4694-6976,W000000057,2019-03-03
CT00000058,24098.22,6620-9581-1584-1065,W000000058,2022-03-08
CT00000059,27464.21,6046-8180-5020-8450,W000000059,2020-05-14
CT00000060,19046.05,4399-7581-4241-2243,W000000060,2020-11-21
CT00000061,18013.56,3908-0760-0573-6100,W000000061,2021-04-13
CT00000062,13939.56,0930-4567-2366-7895,W000000062,2021-11-10
CT00000063,23356.86,0780-8050-8853-1003,W000000063,2021-08-24
CT00000064,17747.11,2479-9796-2500-0999,W000000064,2019-05-13
CT00000065,30494.79,9113-3458-5166-0481,W000000065,2022-02-05
CT00000066,31580.39,7638-9744-7798-3755,W000000066,2019-09-05
CT00000067,12382.21,3869-4008-8467-3842,W000000067,2019-01-02
CT00000068,9377.97,1994-9884-9395-4200,W000000068,2022-01-02
CT00000069,13793.76,9272-3826-3283-3576,W000000069,2022-02-28
CT00000070,2431.01,4855-7177-0390-5171,W000000070,2021-10-12
CT00000071,23002.03,9077-6472-3296-8864,W000000071,2020-11-01
CT00000072,8312.42,2053-4349-6891-7183,W000000072,2022-03-05
CT00000073,23401.53,7179-4043-1380-9496,W000000073,2021-05-22
CT00000074,13495.28,4012-0805-7150-6118,W000000074,2020-07-12
CT00000075,29743.57,2025-9631-6674-1224,W000000075,2020-04-20
CT00000076,23056.17,2020-4994-8770-3538,W000000076,2020-08-01
CT00000077,6528.01,9938-6491-2509-6586,W000000077,2021-08-05
CT00000078,27353.32,6730-9452-3669-1959,W000000078,2021-06-19
CT00000079,18180.54,0532-8804-8772-5127,W000000079,2021-08-27
CT00000080,10486.68,2375-6261-0151-5531,W000000080,2021-12-09
CT00000081,29983.24,8217-7270-4208-4221,W000000081,2020-06-23
CT00000082,2593.87,7987-5009-4473-2812,W000000082,2021-07-17
CT00000083,19905.24,2919-2183-3506-3701,W000000083,2021-01-31
CT00000084,13664.66,0143-9416-9639-4609,W000000084,2020-06-07
CT00000085,5168.09,9487-6426-6505-9411,W000000085,2019-07-03
CT00000086,33648.75,4152-6922-0197-8764,W000000086,2019-08-12
CT00000087,25073.87,5131-1546-8173-0760,W000000087,2020-02-06
CT00000088,1021.53,6736-4211-0562-9425,W000000088,2021-11-26
CT00000089,8037.78,7977-8314-1842-1569,W000000089,2021-01-31
CT00000090,9933.89,3115-2459-4950-2624,W000000090,2019-10-08
CT00000091,2266.36,1156-5790-8146-1111,W000000091,2022-01-28
CT00000092,19169.78,8593-1203-5506-0454,W000000092,2020-04-20
CT00000093,27411.31,8611-0429-2047-9195,W000000093,2019-06-13
CT00000094,17546.67,8744-4593-9969-3100,W000000094,2021-09-26
CT00000095,4764.8,7913-4148-0709-8649,W000000095,2021-12-25
CT00000096,24675.81,1439-4114-7661-0234,W000000096,2019-03-03
CT00000097,13855.78,6733-7606-6762-1549,W000000097,2021-12-23
CT00000098,29856.14,6621-1284-4492-8960,W000000098,2019-07-29
CT00000099,1256.67,7524-8990-4256-1687,W000000099,2019-10-22
CT00000100,12961.12,8055-8167-8684-7035,W000000100,2020-04-21
CT00000101,10792.19,3482-7898-1986-8815,W000000101,2020-09-01
CT00000102,9937.13,8754-4802-5014-1621,W000000102,2020-05-19
CT00000103,34111.48,3971-1664-2577-6024,W000000103,2021-07-29
CT00000104,20096.73,5828-9693-2088-3865,W000000104,2019-01-07
CT00000105,18206.59,3619-6196-3390-1820,W000000105,2019-06-03
CT00000106,5506.81,3837-7869-1347-9609,W000000106,2022-01-20
CT00000107,3726.34,3818-0431-6262-5294,W000000107,2019-05-30
CT00000108,10110.56,0147-7953-1767-3347,W000000108,2020-09-23
CT00000109,16830.88,8302-8162-1014-1879,W000000109,2019-01-28
CT00000110,12363.59,3286-9619-2234-3590,W000000110,2019-09-14
CT00000111,27985.65,3246-8312-3171-8894,W000000111,2021-01-04
CT00000112,15018.37,3806-1743-0495-7249,W000000112,2021-11-17
CT00000113,13685.38,6858-7315-2928-4853,W000000113,2020-09-10
CT00000114,34384.73,1303-1758-2096-4336,W000000114,2019-02-24
CT00000115,21404.88,5316-3596-2965-3510,W000000115,2019-06-09
CT00000116,31830.43,4665-7700-6855-4473,W000000116,2020-04-05
CT00000117,4739.19,0334-6919-6529-0244,W000000117,2021-02-17
CT00000118,12800.02,1017-3676-0266-3816,W000000118,2021-09-18
CT00000119,9406.49,4886-7724-1487-1132,W000000119,2019-03-10
CT00000120,28695.49,0117-1596-1163-7988,W000000120,2021-03-04
CT00000121,30780.34,2624-8005-3780-2762,W000000121,2020-02-22
CT00000122,6140.37,8713-3873-8848-3284,W000000122,2022-02-11
CT00000123,24348.78,1383-2039-4456-9386,W000000123,2020-02-20
CT00000124,9710.71,1078-8351-7293-6613,W000000124,2020-04-13
CT00000125,12610.06,7326-7350-6034-9769,W000000125,2021-05-22
CT00000126,26846.06,8316-9605-5510-9747,W000000126,2019-04-29
CT00000127,9854.99,5181-7935-4818-2944,W000000127,2019-08-02
CT00000128,25673.01,6136-4835-0808-8612,W000000128,2020-08-26
CT00000129,29555.16,5360-9563-7208-3926,W000000129,2020-10-06
CT00000130,17430.47,2497-6941-5901-6439,W000000130,2021-01-22
CT00000131,22716.28,0709-3849-0123-7195,W000000131,2021-10-24
CT00000132,8654.23,6483-4331-3715-3480,W000000132,2019-02-04
CT00000133,13175.5,9121-4680-5929-0808,W000000133,2019-05-27
CT00000134,29558.34,2900-7005-9362-6791,W000000134,2019-04-21
CT00000135,2491.2,1439-4114-7661-0234,W000000135,2022-03-12
