Top_up_Dedit_Card_ID,Amount,Debit_Card_Number,Wallet_ID,Top_Up_Date
DT00000001,5629.91,6594-3119-4638-0003,W000000001,2020-10-31
DT00000002,24773.23,8239-7639-4395-3181,W000000002,2019-08-01
DT00000003,15900.09,1549-0648-7664-2899,W000000003,2020-08-02
DT00000004,14501.37,9707-8675-9028-7554,W000000004,2021-06-06
DT00000005,11413.77,7692-0005-2627-9211,W000000005,2022-02-18
DT00000006,24844.42,9656-6192-4141-4371,W000000006,2021-12-12
DT00000007,7208.13,4163-7489-7568-7685,W000000007,2020-05-20
DT00000008,19204.53,7111-0838-2238-0212,W000000008,2020-07-28
DT00000009,7959.08,0478-8724-8505-4371,W000000009,2022-03-14
DT00000010,8221.09,2735-3105-5032-0928,W000000010,2020-09-16
DT00000011,28339.37,4342-9938-0770-2720,W000000011,2019-01-06
DT00000012,17107.24,6140-5419-0711-1419,W000000012,2020-02-02
DT00000013,6027.18,7697-4234-6919-8744,W000000013,2021-06-15
DT00000014,34814.93,2657-8332-9592-5398,W000000014,2021-04-11
DT00000015,29523.93,4926-5434-1620-8518,W000000015,2021-02-09
DT00000016,472.72,8404-8383-2084-6804,W000000016,2021-02-04
DT00000017,18051.71,9757-7831-6739-7047,W000000017,2020-12-15
DT00000018,1368.37,5650-5871-5035-7782,W000000018,2021-09-24
DT00000019,18328.18,8903-4797-3825-2475,W000000019,2019-08-18
DT00000020,6420.18,1567-8898-0821-0797,W000000020,2019-05-28
DT00000021,24024.62,0555-9316-8805-3938,W000000021,2019-09-13
DT00000022,13154.84,7081-3439-4587-3165,W000000022,2019-11-09
DT00000023,33803.57,5949-4144-1423-8858,W000000023,2020-04-19
DT00000024,26196.72,0721-6865-6141-2085,W000000024,2021-05-23
DT00000025,32146.08,2143-0028-8437-5901,W000000025,2019-04-13
DT00000026,23304.39,6947-9971-4712-0128,W000000026,2021-08-23
DT00000027,20078.29,7692-0005-2627-9211,W000000027,2020-01-18
DT00000028,2746.52,0081-9050-1396-6140,W000000028,2019-10-10
DT00000029,1378.38,5395-1172-7935-9097,W000000029,2020-07-30
DT00000030,19414.7,5749-0299-9130-3407,W000000030,2020-02-29
DT00000031,1528.14,9659-6377-5499-4698,W000000031,2019-01-19
DT00000032,8632.31,1362-1850-8932-7941,W000000032,2019-12-01
DT00000033,13739.18,7766-7078-7744-2501,W000000033,2020-08-14
DT00000034,12187.57,6935-2840-5095-7432,W000000034,2020-09-02
DT00000035,26058.42,9702-0722-6131-9389,W000000035,2020-12-20
DT00000036,22738.57,7487-8104-4669-9177,W000000036,2020-03-31
DT00000037,15928.86,5227-1686-9567-5216,W000000037,2020-11-18
DT00000038,15061.01,8587-7254-1410-1783,W000000038,2019-03-23
DT00000039,25468.38,2789-5700-7032-1139,W000000039,2019-03-03
DT00000040,33129.85,8664-7318-7840-0289,W000000040,2019-06-25
DT00000041,25840.79,6395-0017-4156-4661,W000000041,2021-04-01
DT00000042,21863.44,6486-0111-6616-0803,W000000042,2022-01-25
DT00000043,20773.86,0478-2310-7009-8028,W000000043,2019-08-08
DT00000044,30997.92,9355-2087-7168-7897,W000000044,2019-09-14
DT00000045,28711.0,8898-1292-3909-6309,W000000045,2021-09-06
DT00000046,1398.09,1754-8355-0005-6630,W000000046,2019-06-03
DT00000047,26435.65,6440-4119-6754-4261,W000000047,2019-10-05
DT00000048,28963.67,1964-2173-6947-3476,W000000048,2019-08-24
