Wallet_id,Balanced,Owner_ID,Credit_Card_ID,Debit_Card_ID,Bank_Number
W000000001,194352.45,U000001683,6195-6095-5090-7299,6594-3119-4638-0003,256-485741-4
W000000002,34992.13,U000001575,6568-4324-4911-9185,8239-7639-4395-3181,489-971353-3
W000000003,249977.77,U000001066,8612-5233-7238-4917,1549-0648-7664-2899,500-054553-6
W000000004,21967.36,U000001986,4227-3391-1754-5570,9707-8675-9028-7554,125-087410-7
W000000005,310039.86,U000000610,3134-4438-3690-7400,7692-0005-2627-9211,324-731854-0
W000000006,153161.88,U000000053,1297-1355-4421-3283,9656-6192-4141-4371,891-765550-9
W000000007,85693.23,U000000860,9977-3980-3754-7415,4163-7489-7568-7685,731-210671-0
W000000008,92228.87,U000000186,8629-5631-8107-6717,7111-0838-2238-0212,645-153682-6
W000000009,42348.4,U000001277,8633-7813-8130-6348,0478-8724-8505-4371,257-746461-9
W000000010,449719.1,U000001755,9955-0780-5072-9844,2735-3105-5032-0928,783-696017-9
W000000011,180186.39,U000000786,2760-2930-0409-3105,4342-9938-0770-2720,133-519042-4
W000000012,95424.0,U000000945,7267-2891-3056-0411,6140-5419-0711-1419,489-504264-8
W000000013,329146.84,U000001374,8744-4593-9969-3100,7697-4234-6919-8744,044-078165-2
W000000014,248123.89,U000000743,1898-9265-2160-2628,2657-8332-9592-5398,229-413043-5
W000000015,133371.34,U000001416,5456-5119-8168-9423,4926-5434-1620-8518,325-750980-2
W000000016,334461.37,U000000970,7578-2940-8140-1582,8404-8383-2084-6804,855-772435-9
W000000017,347752.57,U000001650,6888-2825-7687-2414,9757-7831-6739-7047,569-074560-8
W000000018,442154.92,U000000601,1439-4114-7661-0234,5650-5871-5035-7782,930-360849-5
W000000019,454096.53,U000000307,1692-2745-5326-5357,8903-4797-3825-2475,654-925752-1
W000000020,313213.69,U000001180,0828-2384-5199-5592,1567-8898-0821-0797,009-148796-2
W000000021,189463.9,U000001004,4054-7702-1316-7656,0555-9316-8805-3938,474-742024-2
W000000022,74570.52,U000000858,6550-2220-7604-1345,7081-3439-4587-3165,163-970523-7
W000000023,176087.94,U000000564,2227-0909-7684-6763,5949-4144-1423-8858,414-181983-9
W000000024,50391.63,U000001224,5082-7978-8743-3591,0721-6865-6141-2085,823-070594-9
W000000025,387299.66,U000000517,1665-7226-6514-4493,2143-0028-8437-5901,681-665815-8
W000000026,477668.57,U000001619,2150-5971-5900-2246,6947-9971-4712-0128,351-076596-9
W000000027,301952.02,U000001529,8448-9560-8444-8731,7692-0005-2627-9211,376-932957-8
W000000028,342448.65,U000001723,6482-7509-8399-3225,0081-9050-1396-6140,474-572833-0
W000000029,386033.6,U000001594,9830-0287-9775-6505,5395-1172-7935-9097,877-915037-5
W000000030,307118.67,U000000654,3562-8506-2992-8580,5749-0299-9130-3407,474-572833-0
W000000031,45948.24,U000002000,1739-1960-7877-6941,9659-6377-5499-4698,728-653915-0
W000000032,3085.93,U000001742,2678-6161-1159-5139,1362-1850-8932-7941,730-034889-1
W000000033,39880.07,U000001818,8717-5131-6993-0231,7766-7078-7744-2501,310-811362-6
W000000034,454414.84,U000001719,2076-9465-2074-0065,6935-2840-5095-7432,606-017360-2
W000000035,259675.07,U000000555,9920-2532-5011-8710,9702-0722-6131-9389,404-092316-1
W000000036,424409.05,U000000043,5041-6800-1146-5928,7487-8104-4669-9177,046-015454-3
W000000037,420321.74,U000000966,5117-9189-9941-3384,5227-1686-9567-5216,489-504264-8
W000000038,329483.31,U000001846,9347-1946-3959-2831,8587-7254-1410-1783,570-962918-9
W000000039,201672.03,U000001837,4950-3654-7380-9704,2789-5700-7032-1139,238-586754-3
W000000040,47845.9,U000001676,7719-8640-8492-9656,8664-7318-7840-0289,055-307835-4
W000000041,344536.43,U000000973,8664-1541-0956-2889,6395-0017-4156-4661,912-035129-1
W000000042,495605.23,U000001800,4759-9251-2276-5821,6486-0111-6616-0803,678-610640-0
W000000043,462251.53,U000000388,2918-0454-3840-0046,0478-2310-7009-8028,570-962918-9
W000000044,245501.8,U000001444,2497-6941-5901-6439,9355-2087-7168-7897,542-635473-1
W000000045,328453.01,U000000189,4473-9036-7955-9835,8898-1292-3909-6309,828-549973-2
W000000046,452095.75,U000000356,1204-6017-4612-7695,1754-8355-0005-6630,906-803763-0
W000000047,191983.41,U000000999,3055-1182-6705-7232,6440-4119-6754-4261,781-593170-7
W000000048,394382.99,U000000963,2955-1097-5384-3257,1964-2173-6947-3476,750-243990-7
W000000049,460569.78,U000000660,2365-0613-1062-2468,7361-7141-5442-0769,433-225949-9
W000000050,309527.47,U000000038,6952-1058-3208-4198,9943-4709-1234-6219,294-016576-8
W000000051,191089.98,U000000775,2345-6763-7500-2726,7620-2819-5260-7298,314-030284-8
W000000052,198663.48,U000000468,2823-8955-8553-4307,6229-8270-7391-5261,667-424038-7
W000000053,61170.54,U000001288,7519-3718-4692-7017,2623-0902-1714-1648,712-740138-8
W000000054,159012.78,U000000368,2915-9848-4577-4586,3546-2771-5014-5100,969-933288-9
W000000055,457720.41,U000000959,3388-5483-3594-5805,1073-4332-9921-4121,498-127100-4
W000000056,279000.83,U000001582,8812-9193-8230-9675,0963-3548-2233-3883,465-991965-0
W000000057,250465.27,U000001204,4205-0475-4694-6976,8602-2511-8499-9697,859-059306-3
W000000058,431927.32,U000000853,6620-9581-1584-1065,3731-8668-3444-2901,783-651354-0
W000000059,451329.83,U000001658,6046-8180-5020-8450,9840-4093-8115-1906,922-845875-6
W000000060,124113.27,U000001229,4399-7581-4241-2243,5272-3166-6171-9651,234-382198-3
