Top_up_Credit_Card_ID,Balanced,Credit_Card_Number,Wallet_ID,Top_Up_Date
CT00000001,420835.55,6236-2281-1831-4533,W000000001,2019-04-11
CT00000002,948604.11,0646-5966-5446-5836,W000000002,2020-06-30
CT00000003,448859.85,8121-1037-6291-2608,W000000003,2020-02-14
CT00000004,154357.63,4400-3095-0416-8839,W000000004,2020-05-25
CT00000005,788672.13,8611-8779-9870-3708,W000000005,2021-11-21
CT00000006,310328.36,0195-8566-9779-0481,W000000006,2019-03-08
CT00000007,865830.71,1526-9170-9262-5731,W000000007,2020-02-29
CT00000008,382394.88,2826-4893-6661-9143,W000000008,2019-02-24
CT00000009,309840.06,5342-5218-3504-5527,W000000009,2021-05-08
CT00000010,392124.71,9186-7869-1912-0594,W000000010,2020-01-11
CT00000011,911439.59,8712-5967-3315-8776,W000000011,2019-01-28
CT00000012,973886.16,2563-4127-8788-1092,W000000012,2021-10-09
CT00000013,940364.9,1283-7956-1449-6430,W000000013,2020-06-19
CT00000014,717477.87,8481-6599-9811-4023,W000000014,2019-01-22
CT00000015,215044.27,5007-9889-6900-0238,W000000015,2019-04-03
CT00000016,154745.06,9759-7877-2211-5630,W000000016,2020-01-31
CT00000017,157549.24,2571-7053-1901-3073,W000000017,2021-12-03
CT00000018,650808.45,5995-8945-3278-6180,W000000018,2022-02-22
CT00000019,299989.1,1230-3034-9587-0788,W000000019,2021-04-14
CT00000020,225062.72,0856-2694-1436-5228,W000000020,2020-12-30
CT00000021,964330.7,7193-3808-3704-1923,W000000021,2022-03-06
CT00000022,637993.75,5695-3925-0572-7167,W000000022,2019-02-27
CT00000023,472814.43,4699-1886-8935-0981,W000000023,2019-02-17
CT00000024,725440.75,6751-6991-6354-7313,W000000024,2020-02-02
CT00000025,590285.55,0026-4833-8822-9916,W000000025,2021-05-10
CT00000026,166856.46,5311-3491-7612-3348,W000000026,2020-11-18
CT00000027,579936.84,4441-3496-4871-0720,W000000027,2019-08-09
CT00000028,44209.89,9056-1147-9212-7864,W000000028,2020-03-19
CT00000029,823258.28,3436-2980-5311-9267,W000000029,2020-10-11
CT00000030,205756.38,7880-2618-3957-1100,W000000030,2019-06-13
CT00000031,712674.13,2122-7342-5745-3270,W000000031,2019-07-06
CT00000032,629579.62,0616-2486-0188-3012,W000000032,2020-01-01
CT00000033,414633.56,8496-9995-9936-6034,W000000033,2021-08-02
CT00000034,511363.25,1591-3478-6753-9432,W000000034,2021-09-13
CT00000035,540913.6,8983-0872-5561-7283,W000000035,2020-07-22
CT00000036,782319.74,4876-9080-7040-9465,W000000036,2021-09-03
CT00000037,832825.5,7093-2876-4305-5252,W000000037,2021-12-01
CT00000038,852727.7,7106-0849-6694-6581,W000000038,2020-08-01
CT00000039,197715.32,3345-1705-4616-7795,W000000039,2019-10-29
CT00000040,272220.49,2780-2508-3372-3972,W000000040,2021-05-26
CT00000041,4962.13,5651-7287-8957-4453,W000000041,2019-11-07
CT00000042,852209.98,8523-8307-3243-7926,W000000042,2021-10-16
CT00000043,351845.41,6950-5025-3187-4606,W000000043,2019-01-21
CT00000044,215862.71,4285-3175-7134-7098,W000000044,2019-03-14
CT00000045,572265.8,8457-5112-1246-9220,W000000045,2021-10-10
CT00000046,200610.5,9097-5126-3274-3829,W000000046,2021-06-25
CT00000047,799847.52,7025-2187-1770-3800,W000000047,2021-07-30
CT00000048,804076.84,5007-9889-6900-0238,W000000048,2020-07-03
CT00000049,809116.13,3731-0202-2076-7709,W000000049,2021-04-17
CT00000050,599898.17,9100-9339-7189-1660,W000000050,2020-04-15
CT00000051,184150.53,5436-6352-0783-4512,W000000051,2020-08-23
CT00000052,411195.07,2826-4893-6661-9143,W000000052,2021-03-18
CT00000053,609971.61,7364-5775-1520-9619,W000000053,2019-07-11
CT00000054,872041.5,0456-1001-9835-2888,W000000054,2019-05-22
CT00000055,988142.05,5977-7514-0570-5760,W000000055,2021-02-23
CT00000056,371081.33,3857-2706-3567-7255,W000000056,2019-09-26
CT00000057,897782.3,0490-3794-1653-0701,W000000057,2020-08-04
CT00000058,896602.75,4494-6903-3213-8928,W000000058,2020-04-23
CT00000059,330854.68,3771-3918-2772-2952,W000000059,2020-10-20
CT00000060,848859.85,5361-8579-4407-6252,W000000060,2019-10-15
CT00000061,787875.46,4194-3656-4506-5525,W000000061,2020-05-06
CT00000062,142387.23,2288-3957-8355-0914,W000000062,2020-06-01
CT00000063,120912.36,4007-1681-2403-7265,W000000063,2019-12-20
CT00000064,985430.66,5746-3578-0387-0837,W000000064,2020-02-07
CT00000065,370253.97,2986-6321-4729-4072,W000000065,2020-05-24
CT00000066,939865.64,2399-2732-8150-8644,W000000066,2019-11-16
CT00000067,846042.05,7433-4338-4557-7181,W000000067,2019-08-16
CT00000068,582921.94,8001-0953-8986-4608,W000000068,2020-10-29
CT00000069,393612.32,4985-9776-5553-1159,W000000069,2020-04-08
CT00000070,819891.96,7333-4820-2671-5978,W000000070,2019-04-19
CT00000071,7927.05,6884-1454-0261-0038,W000000071,2019-06-06
CT00000072,109934.24,7478-4831-2045-7184,W000000072,2021-11-19
CT00000073,374476.32,1691-9346-0648-6675,W000000073,2019-01-17
