Wallet_id,Balanced,Owner_ID,Credit_Card_ID,Debit_Card_ID,Bank_Number
W000000001,422803.4,U000000329,6236-2281-1831-4533,3285-4950-5123-2138,000-246252-7
W000000002,37987.9,U000001025,0646-5966-5446-5836,5372-7093-7160-0218,356-275389-3
W000000003,520166.17,U000001732,8121-1037-6291-2608,4479-9074-8560-0571,282-928683-4
W000000004,672518.09,U000000062,4400-3095-0416-8839,6266-7886-4026-3902,016-815113-6
W000000005,930015.43,U000001703,8611-8779-9870-3708,2286-2355-1601-6947,874-327405-1
W000000006,707445.37,U000001602,0195-8566-9779-0481,0248-0527-7586-7677,495-425350-3
W000000007,61366.15,U000000182,1526-9170-9262-5731,6628-2858-0721-6591,644-976801-6
W000000008,653038.74,U000001651,2826-4893-6661-9143,6834-6636-5313-0003,399-685564-7
W000000009,554742.75,U000000565,5342-5218-3504-5527,7264-1501-8048-9784,434-623395-0
W000000010,132290.77,U000001214,9186-7869-1912-0594,2031-7444-6375-8004,773-576428-4
W000000011,28105.92,U000000001,8712-5967-3315-8776,2548-3058-1325-8038,816-874697-1
W000000012,872445.72,U000000499,2563-4127-8788-1092,2096-7739-1051-9857,565-978599-5
W000000013,864809.41,U000000332,1283-7956-1449-6430,1713-4722-4208-1317,895-927156-1
W000000014,743845.31,U000001971,8481-6599-9811-4023,0430-6967-0080-5932,300-953037-0
W000000015,582033.84,U000001530,5007-9889-6900-0238,3274-1724-0974-0040,572-854008-3
W000000016,332735.74,U000000527,9759-7877-2211-5630,3398-3218-5132-7159,114-623232-4
W000000017,35902.66,U000000752,2571-7053-1901-3073,8703-9033-0514-9781,989-467713-8
W000000018,628065.59,U000001590,5995-8945-3278-6180,1491-6136-6818-8361,694-685471-9
W000000019,21200.37,U000000400,1230-3034-9587-0788,9226-2702-0842-8773,119-773832-5
W000000020,949265.37,U000001707,0856-2694-1436-5228,3585-1453-3705-6046,938-267333-5
W000000021,415528.81,U000000729,7193-3808-3704-1923,4120-7151-9393-4026,924-276984-7
W000000022,835036.02,U000000946,5695-3925-0572-7167,9279-4507-8362-2173,279-047174-5
W000000023,534287.58,U000000379,4699-1886-8935-0981,4339-5868-0581-5574,317-365999-8
W000000024,942642.71,U000001218,6751-6991-6354-7313,8563-7717-4075-9232,513-785326-4
W000000025,967335.17,U000001762,0026-4833-8822-9916,8847-2936-4703-7996,123-022927-0
W000000026,846721.22,U000000751,5311-3491-7612-3348,2593-7280-9759-0179,817-944518-5
W000000027,106677.4,U000001206,4441-3496-4871-0720,9918-4183-9036-3856,059-713085-0
W000000028,413084.72,U000000999,9056-1147-9212-7864,1017-9791-7858-0470,439-082263-3
W000000029,278209.08,U000001270,3436-2980-5311-9267,5006-1715-0919-8770,961-771144-4
